beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta1,-0.655157018,0.041277348,4.95E-57,0.05,adaptive,RQ,0
beta1,-0.655180353,0.04130436,5.78E-57,0.05,adaptive,RQ,1
beta1,-0.655158775,0.041279382,5.00E-57,0.05,adaptive,RQ,2
beta1,-0.655157267,0.041277637,4.95E-57,0.05,adaptive,RQ,3
beta1,-0.655156986,0.041277311,4.95E-57,0.05,adaptive,RQ,4
beta1,-0.655157511,0.041277919,4.96E-57,0.05,adaptive,RQ,5
beta1,-0.655149858,0.041269063,4.71E-57,0.05,adaptive,RQ,6
beta1,-0.655151507,0.041270972,4.77E-57,0.05,adaptive,RQ,7
beta1,-0.655155684,0.041275805,4.90E-57,0.05,adaptive,RQ,8
beta1,-0.655156858,0.041277164,4.94E-57,0.05,adaptive,RQ,9
beta1,-0.655149882,0.041269091,4.71E-57,0.05,adaptive,RQ,10
beta1,-0.655171236,0.041293805,5.44E-57,0.05,adaptive,RQ,11
beta1,-0.65515461,0.041274562,4.87E-57,0.05,adaptive,RQ,12
beta1,-0.655141068,0.041258895,4.44E-57,0.05,adaptive,RQ,13
beta1,-0.655155135,0.04127517,4.88E-57,0.05,adaptive,RQ,14
beta1,-0.655155391,0.041275466,4.89E-57,0.05,adaptive,RQ,15
beta1,-0.6551506,0.041269922,4.74E-57,0.05,adaptive,RQ,16
beta1,-0.655157163,0.041277516,4.95E-57,0.05,adaptive,RQ,17
beta1,-0.655168596,0.041290748,5.35E-57,0.05,adaptive,RQ,18
beta1,-0.655133802,0.041250491,4.23E-57,0.05,adaptive,RQ,19
beta1,-0.655141186,0.041259031,4.45E-57,0.05,adaptive,RQ,20
beta1,-0.655156611,0.041276878,4.93E-57,0.05,adaptive,RQ,21
beta1,-0.655151152,0.041270561,4.76E-57,0.05,adaptive,RQ,22
beta1,-0.65515692,0.041277234,4.94E-57,0.05,adaptive,RQ,23
beta1,-0.655141171,0.041259014,4.45E-57,0.05,adaptive,RQ,24
beta1,-0.655159164,0.041279832,5.02E-57,0.05,adaptive,RQ,25
beta1,-0.655151912,0.04127144,4.78E-57,0.05,adaptive,RQ,26
beta1,-0.655158541,0.04127911,5.00E-57,0.05,adaptive,RQ,27
beta1,-0.655157019,0.04127735,4.95E-57,0.05,adaptive,RQ,28
beta1,-0.655157108,0.041277452,4.95E-57,0.05,adaptive,RQ,29
beta1,-0.037346328,0.04591644,0.20800751,0.05,symmetric,RQ,0
beta2,0.894596767,0.054866399,4.55E-60,0.05,symmetric,RQ,0
beta3,-0.199701819,0.070607417,0.0023395,0.05,symmetric,RQ,0
beta1,-0.03732942,0.045931826,0.208191138,0.05,symmetric,RQ,1
beta2,0.89458148,0.05489381,5.22E-60,0.05,symmetric,RQ,1
beta3,-0.199765134,0.070655097,0.002346911,0.05,symmetric,RQ,1
beta1,-0.037332371,0.045928157,0.208154102,0.05,symmetric,RQ,2
