quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,adaptive,RQ,0,0.128173637,0.048515376,0.04495614,0.618005636,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,1,0.128173637,0.048515376,0.04495614,0.617992193,0.998807459,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,2,0.128173637,0.048515376,0.04495614,0.618004623,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,3,0.128173637,0.048515376,0.04495614,0.618005492,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,4,0.128173637,0.048515376,0.04495614,0.618005654,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,5,0.128173637,0.048515376,0.04495614,0.618005351,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,6,0.128173637,0.048515376,0.04495614,0.618009761,0.998807454,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,7,0.128173637,0.048515376,0.04495614,0.61800881,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,8,0.128173637,0.048515376,0.04495614,0.618006404,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,9,0.128173637,0.048515376,0.04495614,0.618005727,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,10,0.128173637,0.048515376,0.04495614,0.618009747,0.998807454,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,11,0.128173637,0.048515376,0.04495614,0.617997445,0.998807457,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,12,0.128173637,0.048515376,0.04495614,0.618007023,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,13,0.128173637,0.048515376,0.04495614,0.618014824,0.998807453,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,14,0.128173637,0.048515376,0.04495614,0.61800672,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,15,0.128173637,0.048515376,0.04495614,0.618006573,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,16,0.128173637,0.048515376,0.04495614,0.618009333,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,17,0.128173637,0.048515376,0.04495614,0.618005552,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,18,0.128173637,0.048515376,0.04495614,0.617998966,0.998807457,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,19,0.128173637,0.048515376,0.04495614,0.618019011,0.998807452,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,20,0.128173637,0.048515376,0.04495614,0.618014757,0.998807453,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,21,0.128173637,0.048515376,0.04495614,0.61800587,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,22,0.128173637,0.048515376,0.04495614,0.618009015,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,23,0.128173637,0.048515376,0.04495614,0.618005692,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,24,0.128173637,0.048515376,0.04495614,0.618014765,0.998807453,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,25,0.128173637,0.048515376,0.04495614,0.618004399,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,26,0.128173637,0.048515376,0.04495614,0.618008577,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,27,0.128173637,0.048515376,0.04495614,0.618004758,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,28,0.128173637,0.048515376,0.04495614,0.618005635,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,29,0.128173637,0.048515376,0.04495614,0.618005584,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,symmetric,RQ,0,0.126726934,0.050106045,0.039473684,0.494429703,0.992099548,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,1,0.126726935,0.050106045,0.039473684,0.494432193,0.992099493,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,2,0.126726934,0.050106045,0.039473684,0.494431929,0.992099499,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,3,0.126726933,0.050106045,0.039473684,0.415436833,0.992099518,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,4,0.126726933,0.050106045,0.039473684,0.415438465,0.992099465,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,5,0.126726936,0.050371156,0.039473684,0.477926499,0.992099488,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,6,0.126726933,0.050106045,0.039473684,0.415436425,0.992099532,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,7,0.126726936,0.050106045,0.039473684,0.415439486,0.992099432,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,8,0.126726938,0.050106045,0.039473684,0.415435817,0.992099552,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,9,0.126726933,0.050106045,0.039473684,0.41543743,0.992099499,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,10,0.126726935,0.050106045,0.039473684,0.415436184,0.992099539,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,11,0.126726946,0.050371156,0.039473684,0.485027395,0.992099089,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,12,0.126726963,0.050106045,0.039473684,0.419521479,0.992098702,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,13,0.126726937,0.050106045,0.039473684,0.494427198,0.992099603,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,14,0.126726934,0.050106045,0.039473684,0.415436643,0.992099524,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,15,0.126726933,0.050106045,0.039473684,0.415436688,0.992099523,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,16,0.126726933,0.050106045,0.039473684,0.415437602,0.992099493,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,17,0.126726935,0.050106045,0.039473684,0.415434662,0.992099589,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,18,0.126726938,0.050106045,0.039473684,0.415438594,0.992099461,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,19,0.126726935,0.050106045,0.039473684,0.494432358,0.99209949,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,20,0.126726933,0.050106045,0.039473684,0.415437123,0.992099509,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,21,0.126726949,0.050106045,0.039473684,0.419511962,0.992099047,0.970194032,0.040946129,green,green,,1,,0.77456405
