quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,adaptive,RQ,0,0.128173637,0.048515376,0.04495614,0.618034323,0.998807449,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,1,0.128173637,0.048515376,0.04495614,0.618022909,0.998807451,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,2,0.128173637,0.048515376,0.04495614,0.618006142,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,3,0.128173637,0.048515376,0.04495614,0.618006005,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,4,0.128173637,0.048515376,0.04495614,0.617984809,0.99880746,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,5,0.128173637,0.048515376,0.04495614,0.61800984,0.998807454,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,6,0.128173637,0.048515376,0.04495614,0.618005881,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,7,0.128173637,0.048515376,0.04495614,0.618006041,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,8,0.128173637,0.048515376,0.04495614,0.618005053,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,9,0.128173637,0.048515376,0.04495614,0.618006707,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,10,0.128173637,0.048515376,0.04495614,0.61801984,0.998807452,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,11,0.128173637,0.048515376,0.04495614,0.617990884,0.998807459,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,12,0.128173637,0.048515376,0.04495614,0.618001077,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,13,0.128173637,0.048515376,0.04495614,0.618006568,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,14,0.128173637,0.048515376,0.04495614,0.617995713,0.998807458,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,15,0.128173637,0.048515376,0.04495614,0.618004201,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,16,0.128173637,0.048515376,0.04495614,0.618015636,0.998807453,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,17,0.128173637,0.048515376,0.04495614,0.61800417,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,18,0.128173637,0.048515376,0.04495614,0.618006227,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,19,0.128173637,0.048515376,0.04495614,0.618005322,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,20,0.128173637,0.048515376,0.04495614,0.618005936,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,21,0.128173637,0.048515376,0.04495614,0.618004135,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,22,0.128173637,0.048515376,0.04495614,0.618003217,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,23,0.128173637,0.048515376,0.04495614,0.618038932,0.998807448,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,24,0.128173637,0.048515376,0.04495614,0.618019318,0.998807452,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,25,0.161921672,0.032343584,0.006030702,1,1,1.58E-07,7.90E-27,green,green,1,1,0.999998594,0.946310163
0.05,adaptive,RQ,26,0.128173637,0.048515376,0.04495614,0.618005811,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,27,0.128173637,0.048515376,0.04495614,0.617993417,0.998807458,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,28,0.128173637,0.048515376,0.04495614,0.618011415,0.998807454,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,29,0.159638648,0.034994698,0.006030702,1,1,1.01E-05,7.90E-27,green,green,1,1,0.999999473,0.946310163
0.05,adaptive,mle,0,0.128173637,0.048515376,0.04495614,0.618006846,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,1,0.128173637,0.048515376,0.04495614,0.618005806,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,2,0.148110257,0.058059385,0.133223684,1,1,0.024963176,1.40E-42,green,red,,1,,1
0.05,adaptive,mle,3,0.128173637,0.048515376,0.04495614,0.618007398,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,4,0.128173637,0.048515376,0.04495614,0.618004518,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,5,0.128173637,0.048515376,0.04495614,0.618007657,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,6,0.128173637,0.048515376,0.04495614,0.618006428,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,7,0.128173637,0.048515376,0.04495614,0.618005692,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,8,0.148110254,0.058059385,0.133223684,1,1,0.024963176,1.40E-42,green,red,,1,,1
0.05,adaptive,mle,9,0.128173637,0.048515376,0.04495614,0.618006925,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,10,0.128173637,0.048515376,0.04495614,0.618006658,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,11,0.128173637,0.048515376,0.04495614,0.618006462,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,12,0.128173637,0.048515376,0.04495614,0.618006407,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,13,0.148110257,0.058059385,0.133223684,1,1,0.024963176,1.40E-42,green,red,,1,,1
0.05,adaptive,mle,14,0.128173637,0.048515376,0.04495614,0.618006463,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
