,beta1,beta1,beta2,beta3,beta4,beta1,beta2,beta3,beta1,beta2,beta3,beta1,beta1,beta2,beta3,beta4,beta1,beta2,beta3,beta1,beta2,beta3
coefficient,-0.770420589,-0.073524187,0.921424208,-0.040327476,0.313863514,-0.118347522,0.87731924,-0.274227761,0.271175932,0.878198314,0.577553527,-0.65515498,-0.04568684,0.926461998,0.003406816,0.231146833,-0.037336589,0.894330252,-0.200306085,0.042951031,0.911510458,0.240547819
S.E. of beta,0.119659623,0.01095024,0.008836631,0.053666551,0.034271949,0.024416506,0.013668519,0.025536889,0.09242246,0.029931831,0.213520766,0.04127499,0.009844476,0.023093486,0.051868882,0.070657251,0.046186555,0.055918782,0.072721592,0.029467939,0.021277014,0.044820602
pval of beta,6.04E-11,9.44E-12,0,0.22619236,2.64E-20,6.27E-07,0,3.36E-27,0.001672629,1.61E-189,0.00341619,4.88E-57,1.73E-06,0,0.473815779,0.000535117,0.209434049,7.11E-58,0.002939779,0.07248214,0,4.01E-08
quantile,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
model,adaptive,asymmetric,asymmetric,asymmetric,asymmetric,symmetric,symmetric,symmetric,igarch,igarch,igarch,adaptive,asymmetric,asymmetric,asymmetric,asymmetric,symmetric,symmetric,symmetric,igarch,igarch,igarch
method,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ,RQ
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,adaptive,asymmetric,symmetric,igarch,adaptive,asymmetric,symmetric,igarch,,,,,,,,,,,,,
beta1,coefficient,-0.7704 ,-0.0735 ,-0.1183 ,0.2712 ,-0.6552 ,-0.0457 ,-0.0373 ,0.0430 ,,,,,,,,,,,,,
,S.E. of beta,0.1197 ,0.0110 ,0.0244 ,0.0924 ,0.0413 ,0.0098 ,0.0462 ,0.0295 ,,,,,,,,,,,,,
,pval of beta,0.0000 ,0.0000 ,0.0000 ,0.0017 ,0.0000 ,0.0000 ,0.2094 ,0.0725 ,,,,,,,,,,,,,
beta2,coefficient,,0.9214 ,0.8773 ,0.8782 ,,0.9265 ,0.8943 ,0.9115 ,,,,,,,,,,,,,
,S.E. of beta,,0.0088 ,0.0137 ,0.0299 ,,0.0231 ,0.0559 ,0.0213 ,,,,,,,,,,,,,
,pval of beta,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,
beta3,coefficient,,-0.0403 ,-0.2742 ,0.5776 ,,0.0034 ,-0.2003 ,0.2405 ,,,,,,,,,,,,,
,S.E. of beta,,0.0537 ,0.0255 ,0.2135 ,,0.0519 ,0.0727 ,0.0448 ,,,,,,,,,,,,,
,pval of beta,,0.2262 ,0.0000 ,0.0034 ,,0.4738 ,0.0029 ,0.0000 ,,,,,,,,,,,,,
beta4,coefficient,,0.3139 ,,,,0.2311 ,,,,,,,,,,,,,,,
,S.E. of beta,,0.0343 ,,,,0.0707 ,,,,,,,,,,,,,,,
,pval of beta,,0.0000 ,,,,0.0005 ,,,,,,,,,,,,,,,
